ID_Ucznia_w_klasie,Pesel,Nazwa_klasy
1,97120639630,2D
2,98060916593,4A
3,96052666743,2C
4,98010871402,4C
5,90072260008,3A
6,96050769899,2A
7,92092549879,2C
8,95030306648,2C
9,95091473945,1A
10,95060905390,4B
11,90041692937,2B
12,98120974352,2C
13,92060436110,4D
14,90012975238,1C
15,97072771631,3C
16,97010945568,4B
17,96100331649,1A
18,94102972600,3C
19,91090369319,1A
20,93091489261,1C
21,95020192158,2B
22,93092591736,4C
23,95080233291,4B
24,96063054036,2C
25,92011755592,3A
26,92060707359,1A
27,95081770416,4B
28,90070132334,2D
29,92060729791,3D
30,92042050002,3A
31,93040795281,2D
32,91062700780,1B
33,93052166709,4D
34,96092041737,3A
35,95070547250,2A
36,92110849082,3D
37,93101726876,3C
38,96020956740,1B
39,90112863017,1D
40,91061476220,3C
41,93081022403,1C
42,94062013368,3D
43,90101620087,3A
44,93121341086,4B
45,95051635662,4D
46,95041165115,1B
47,93071033710,3A
48,97102695678,2B
49,90012818663,2D
50,95120513323,3C
51,97082810555,3A
52,97122604900,2D
53,99121715678,1C
54,91091545190,4C
55,95103199405,2C
56,91112821379,2A
57,96011219993,2D
58,93031547831,2D
59,98020534502,2D
60,97030612130,1B
61,93042085690,1C
62,93021422757,2C
63,95121326430,1B
64,96082915109,4B
65,90012084596,1D
66,99073085045,1D
67,95050459003,3B
68,93061421705,3A
69,93122517918,1C
70,97041896323,3A
71,95081810064,1D
72,91120980857,3C
73,96120272234,4B
74,98022240430,4C
75,92041247698,4C
76,95110514071,2D
77,98090130583,1A
78,94060653999,1D
79,93010258789,3D
80,97021528178,3C
81,90070417099,4A
82,93090701452,1D
83,93040252564,1B
84,96071904907,2B
85,97102703928,2D
86,93112592527,3B
87,96051814116,2D
88,90120121567,4A
89,93080535146,1C
90,93112043474,3B
91,94060850839,4D
92,91030915187,2A
93,98011585711,4B
94,95011628835,3A
95,93012817199,3D
96,93011176129,1D
97,90021363134,1B
98,96082975398,3D
99,90122007186,3D
100,99062990886,1C
101,98012296836,1B
102,99050205039,2A
103,93052694749,3D
104,95062562609,1D
105,93010813029,1D
106,95121460822,2A
107,95091008927,1C
108,91121765653,4C
109,95082598927,3A
110,96061687209,1B
111,98070217619,4A
112,92010836793,1B
113,91021173017,2B
114,93042803812,1A
115,90060688162,4A
116,90013041453,1D
117,99070441989,2A
118,94011646115,4A
119,91080723424,3C
120,96113004091,1B
121,99020930749,4D
122,99031364733,4B
123,94082806816,1B
124,96080333394,4B
125,93110893606,4C
126,98111427780,4B
127,90022022139,4B
128,99051553223,1A
129,95051047467,2D
130,96032282813,3B
131,99121875321,1C
132,98102039952,1D
133,91081575594,2C
134,91051455642,4A
135,92032154064,3A
136,92010954152,2A
137,95121449627,1C
138,99032098666,1A
139,93061657490,2A
140,93012403873,3C
141,97111581607,1D
142,95052154999,2C
143,97112743037,3D
144,96032036023,4C
145,99030826227,2C
146,97070842953,1D
147,90032530174,1A
148,95121642068,1D
149,96092844521,2D
150,90041289940,2D
151,93080843360,4B
152,93080858115,1A
153,98041341745,2B
154,99100743513,4B
155,99021490970,3D
156,93120969458,4D
157,93042295031,3B
158,99081376405,4D
159,94060574012,3B
160,97111402041,2D
161,93030270888,4B
162,92032983907,1B
163,97052141355,1D
164,91021554720,4D
165,97051615943,3B
166,98012009500,3D
167,96033100758,3B
168,98052596954,3A
169,92101177446,3D
170,95012090767,3D
171,97010928909,4C
172,91070710113,1C
173,93042309844,2A
174,92051510991,3A
175,94030889452,4C
176,92053130041,2C
177,91080228035,4D
178,98062332966,3A
179,91073086927,1A
180,94090948933,3D
181,95032667936,3B
182,97092229518,1D
183,99112012803,1D
184,91060194613,1B
185,90010830007,3B
186,97071428138,2A
187,93032102071,4B
188,94012260727,2A
189,98102826945,4A
190,96061564883,3A
191,99101560702,2C
192,98122095057,2C
193,97120268876,3A
194,94050719418,2A
195,93040747851,3D
196,96020227880,4A
197,98042798881,4C
198,98121133529,3B
199,91081632299,4A
200,94011872947,2C
201,93051973706,3B
202,94112702071,3A
203,96041633147,4C
204,92112630220,1C
205,92022671542,4A
206,91061409673,2B
207,97121287504,2A
208,91020508782,3C
209,93061682456,4B
210,94090713751,1D
211,96102852540,4C
212,92022421789,2D
213,92031168574,2D
214,95011173700,3C
215,90042291999,4D
216,99020976150,3A
217,91020781530,2A
218,91060499633,4A
219,94030992790,1D
220,95052353824,1B
221,96122032977,3C
222,91071656410,3B
223,92101074545,3D
224,97070921427,3B
225,94052597698,2B
226,95041862982,4D
227,96040720286,4D
228,91121458157,4B
229,95091848741,2C
230,91050646980,3B
231,98082945102,1B
232,94092782186,4B
233,95053031534,2D
234,92032904195,2C
235,98092954013,4C
236,95070332708,2A
237,97021630033,4C
238,98120210719,1C
239,92012832674,3C
240,99102829044,1D
241,94100324096,1A
242,92040420362,4C
243,90051175961,1A
244,99091220927,3C
245,90030647838,2A
246,97040457837,1D
247,90051228768,1A
248,93112534552,3B
249,92111151193,4B
250,94072669515,4D
251,99021504912,4A
252,90021324249,2D
253,93102458660,3C
254,99120609444,4C
255,92062150469,3D
256,95071496157,1C
257,90070569246,3B
258,96070924294,2C
259,92022100453,1A
260,92030202189,2C
261,93041422858,3A
262,95030250350,1A
263,98053032529,2A
264,98030825892,1D
265,92110872466,3D
266,92091563351,3D
267,98010371209,4C
268,95032215498,2C
269,99101430515,1C
270,92091608218,4A
271,95082126667,2C
272,95021281402,3A
273,97011237376,1D
274,94101416749,1D
275,95040603227,2D
276,93070773187,4B
277,90112916784,3B
278,97041389359,3C
279,95070505713,1B
280,96072285704,1D
281,97101352260,2D
282,97051704601,4D
283,95091792347,3A
284,90062195233,1A
285,99121630290,4D
286,91020147709,3D
287,92083097912,4D
288,91041588121,2A
289,93072650110,4D
290,99031273295,3C
291,93012476563,3B
292,92101240362,3B
293,92091965146,2A
294,93021601259,4B
295,98101208964,4D
296,93052298714,1D
297,92011537211,1D
298,92110395927,4B
299,99110641751,4A
300,91032349155,1B
301,97082466039,3A
302,99032785706,1C
303,98092768474,1A
304,95123186982,2C
305,97082767673,2A
306,95120645369,2B
307,95050321238,1B
308,99072320112,3D
309,91122187528,2D
310,93051458922,4C
311,93041119561,1D
312,95022745651,4A
313,94030968131,1B
314,92121842955,1C
315,93110999548,4A
316,91110839211,1D
317,94070345844,2B
318,90052474311,2A
319,96051986178,3A
320,98121336977,3C
321,90080158887,1C
322,98062251810,1D
323,92111846651,1A
324,99060584287,4C
325,95020357247,3C
326,98091039126,4C
327,94032617675,2A
328,91080656061,3D
329,93051215312,2A
330,90021294168,2D
331,94022268245,3C
332,93073154019,1A
333,94072181068,3C
