Pesel,Przedmiot,Wynik,Data_matury
97011687485,Jezyk polski,99,2025-05-1
97011687485,Jezyk angielski,82,2025-05-2
97011687485,Matematyka,66,2025-05-3
97111486292,Jezyk polski,83,2025-05-1
97111486292,Jezyk angielski,83,2025-05-2
97111486292,Matematyka,75,2025-05-3
91100530524,Jezyk polski,67,2025-05-1
91100530524,Jezyk angielski,100,2025-05-2
91100530524,Matematyka,94,2025-05-3
94041954073,Jezyk polski,100,2025-05-1
94041954073,Jezyk angielski,79,2025-05-2
94041954073,Matematyka,26,2025-05-3
98031482966,Jezyk polski,82,2025-05-1
98031482966,Jezyk angielski,73,2025-05-2
98031482966,Matematyka,32,2025-05-3
