ID_Ucznia_w_klasie,Pesel,Nazwa_klasy
31,92020865969,2B
32,99071734774,4C
33,99120946857,4D
34,91111549571,4D
35,99121201164,3C
36,99100637289,2B
37,94021977865,3A
38,96111202514,4D
39,99051107484,3D
40,92060273443,4C
41,93060919454,2B
42,90100616814,4C
43,92032682752,2A
44,93032324530,2C
45,94082023875,2B
46,93112658290,2B
47,93060302803,4A
48,93091794253,2C
49,99081448023,2B
50,96101093784,4A
51,97042963327,4C
52,99021019373,3A
53,91031565756,4C
54,99122094961,2B
55,97092889211,3D
56,93060115058,1B
57,98073103803,1C
58,97082266196,1B
59,97111966901,1A
60,95092386479,1A
61,96061867931,1D
62,90102320900,1D
