Pesel,Przedmiot,Wynik,Data_matury
98073089431,Jezyk polski,73,2026-05-1
98073089431,Jezyk angielski,78,2026-05-2
98073089431,Matematyka,96,2026-05-3
90042861374,Jezyk polski,39,2026-05-1
90042861374,Jezyk angielski,99,2026-05-2
90042861374,Matematyka,77,2026-05-3
91011772741,Jezyk polski,84,2026-05-1
91011772741,Jezyk angielski,45,2026-05-2
91011772741,Matematyka,29,2026-05-3
99030633827,Jezyk polski,100,2026-05-1
99030633827,Jezyk angielski,100,2026-05-2
99030633827,Matematyka,47,2026-05-3
90012789873,Jezyk polski,71,2026-05-1
90012789873,Jezyk angielski,42,2026-05-2
90012789873,Matematyka,76,2026-05-3
99061025703,Jezyk polski,100,2026-05-1
99061025703,Jezyk angielski,67,2026-05-2
99061025703,Matematyka,82,2026-05-3
95030524035,Jezyk polski,54,2026-05-1
95030524035,Jezyk angielski,78,2026-05-2
95030524035,Matematyka,94,2026-05-3
92062117815,Jezyk polski,82,2026-05-1
92062117815,Jezyk angielski,73,2026-05-2
92062117815,Matematyka,92,2026-05-3
99042811686,Jezyk polski,65,2026-05-1
99042811686,Jezyk angielski,56,2026-05-2
99042811686,Matematyka,86,2026-05-3
