Pesel,Imię,Nazwisko
61062569236,Ryszard,Boduch
61081333421,Kaja,Jezior
01301339721,Daniel,Hrynkiewicz
05262781573,Hubert,Plewnia
97111185177,Natasza,Pryszcz
56111022459,Anastazja,Pierzak
93030457074,Jeremi,Sadza
57081448757,Daniel,Mendyka
84060238496,Olga,Mueller
04230260498,Adrian,Wrochna
79061815517,Radosław,Zmarzły
47041047250,Ksawery,Franczuk
06281075209,Kornel,Derek
81081126050,Aleks,Balawender
04282274306,Witold,Parkitny
87031218794,Gabriel,Burdach
64110568076,Oliwier,Kiwior
14290391414,Julian,Andruszko
28041197411,Juliusz,Demiańczuk
91050553228,Igor,Chachaj
23290339881,Janina,Pich
97061120640,Apolonia,Kroczak
39102026805,Justyna,Brózda
96090149307,Maciej,Szmurło
74120347037,Adrianna,Jaroszuk
25222429590,Błażej,Glenc
44031783002,Fryderyk,Szok
38011448711,Olga,Pęksa
19040411602,Natasza,Strug
75031806590,Przemysław,Rapa
