ID_Ucznia_w_klasie,Pesel,Nazwa_klasy
1,90051306286,4D
2,99021564835,1D
3,94092812915,1C
4,92042504822,1B
5,93052886766,2A
6,93090173347,2D
7,96071433375,3A
8,94100370196,1C
9,93091825205,3B
10,98080887309,4B
11,97072638448,3A
12,98112358904,3C
13,98042281367,1B
14,91051228598,1C
15,96032040181,1C
16,98022708530,3D
17,94110846809,3C
18,91010143032,3D
19,96031940840,3D
20,90072325251,2C
21,94012753906,4C
22,95052955002,3C
23,98062021640,2C
24,98031340200,1C
25,95021617122,1A
26,90061089085,1A
27,99120175491,2B
28,98121980626,2A
29,95081236774,1D
30,98052384948,3D
