Pesel,Imie,Nazwisko
90051306286,Artur,Bartel
99021564835,Kacper,Karnas
94092812915,Natasza,Rudowicz
92042504822,Wiktor,Wojtalik
93052886766,Sonia,Budrewicz
93090173347,Stanisław,Wosiek
96071433375,Inga,Dzika
94100370196,Kamila,Mosur
93091825205,Tobiasz,Stypa
98080887309,Nicole,Dumin
97072638448,Piotr,Bałazy
98112358904,Sebastian,Dryka
98042281367,Kaja,Miotke
91051228598,Witold,Żymełka
96032040181,Sonia,Hulbój
98022708530,Ewelina,Januszewicz
94110846809,Eliza,Hejna
91010143032,Krystian,Smykała
96031940840,Ewelina,Mosur
90072325251,Fabian,Święs
94012753906,Damian,Tylec
95052955002,Marika,Mądrzyk
98062021640,Dorota,Noszczyk
98031340200,Nataniel,Apanowicz
95021617122,Maksymilian,Dolega
90061089085,Kazimierz,Pianka
99120175491,Sara,Cydzik
98121980626,Andrzej,Wojtunik
95081236774,Miłosz,Leszczak
98052384948,Dagmara,Buza
